2025-05-15 03:34:30,642 - INFO - [mytheresa] - 日志文件已创建: E:\pythonProject\outsource\balenciaga_monitor\logs\mytheresa\mytheresa_20250515_033430.log
2025-05-15 03:34:30,644 - INFO - [mytheresa] - 加载了上次的库存数据: E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory\balenciaga_inventory_20250515_032936.json
2025-05-15 03:34:30,644 - INFO - [mytheresa] - mytheresa - 库存监控已初始化
2025-05-15 03:34:30,645 - INFO - [mytheresa] - 开始监控 https://api.mytheresa.com/api
2025-05-15 03:34:30,645 - INFO - [mytheresa] - 正在获取商品目录: https://api.mytheresa.com/api
2025-05-15 03:34:47,587 - INFO - [mytheresa] - 找到 88 个商品元素
2025-05-15 03:34:47,588 - DEBUG - [mytheresa] - 开始解析商品目录数据
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-white-p00937108
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Runner Graffiti printed sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-graffiti-printed-sneakers-black-p00937106
2025-05-15 03:34:47,591 - DEBUG - [mytheresa] - 找到商品: Runner Graffiti distressed sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-graffiti-distressed-sneakers-white-p00937107
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: Triple S Mold sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-mold-sneakers-black-p00856457
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: Cargo mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-cargo-mesh-sneakers-beige-p00906283
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00906281
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-black-p00900180
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-worn-out-mesh-sneakers-multicoloured-p00926232
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: Biker embossed leather knee-high boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-biker-embossed-leather-knee-high-boots-black-p00859154
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: Romeo leather slippers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-romeo-leather-slippers-black-p00888848
2025-05-15 03:34:47,592 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-multicoloured-p00850977
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: 3XL ski sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-ski-sneakers-black-p00896702
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Alaska Low snow boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-alaska-low-snow-boots-black-p00896713
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-multicoloured-p00899058
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Bulldozer leather lace-up boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-bulldozer-leather-lace-up-boots-black-p00850827
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-black-p00850983
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Steroid Derby shoes, URL: https://www.mytheresa.com/mo/en/men/balenciaga-steroid-derby-shoes-black-p00871950
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00868281
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: 3XL mesh sneaker mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-mesh-sneaker-mules-black-p00856471
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Santiago leather boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-santiago-leather-boots-black-p00827562
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Santiago over-the-knee leather boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-santiago-over-the-knee-leather-boots-black-p00827558
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Paris denim slippers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-paris-denim-slippers-blue-p00827591
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: x Crocs platform slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-x-crocs-platform-slides-black-p00824969
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: 3XL mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-mesh-sneakers-red-p00807230
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Leopold satin flats, URL: https://www.mytheresa.com/mo/en/men/balenciaga-leopold-satin-flats-black-p00807241
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Technoclog rubber mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-technoclog-rubber-mules-black-p00807247
2025-05-15 03:34:47,593 - DEBUG - [mytheresa] - 找到商品: Steroid lace-up boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-steroid-lace-up-boots-blue-p00766853
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-black-p00766848
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Logo leather slippers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-logo-leather-slippers-black-p00777669
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-white-p00747707
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Speed Lace-Up sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-lace-up-sneakers-black-p00741990
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Speed 2.0 Graffiti sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-graffiti-sneakers-black-p00741562
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Speed 2.0 lace-up sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-lace-up-sneakers-black-p00721775
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Paris canvas low-top sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-paris-canvas-low-top-sneakers-beige-p00725252
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Speed 2.0 sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-sneakers-black-p00721772
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-black-p00721768
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-white-p00700928
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Cosy BB leather slippers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-cosy-bb-leather-slippers-black-p00655755
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Bouncer mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-defender-mesh-sneakers-black-p00655748
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Bouncer mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-defender-sneakers-beige-p00655749
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Political Campaign Furry slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-political-campaign-furry-slides-beige-p00636445
2025-05-15 03:34:47,594 - DEBUG - [mytheresa] - 找到商品: Crocs™ boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-crocstm-boots-black-p00635908
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-green-p00585104
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Political Campaign Furry slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-political-campaign-furry-slides-grey-p00585082
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-white-p00585100
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-beige-p00569596
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Pool logo rubber slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-pool-logo-rubber-slides-beige-p00556511
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-black-p00513601
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-black-p00486655
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Tractor leather boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-tractor-leather-boots-black-p00493719
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Speed sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-sneakers-black-p00458883
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Speed 2.0 logo sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-logo-sneakers-black-p00458886
2025-05-15 03:34:47,595 - DEBUG - [mytheresa] - 找到商品: Alaska High suede boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-alaska-high-suede-boots-white-p00955188
2025-05-15 03:34:47,596 - DEBUG - [mytheresa] - 找到商品: Cargo mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-cargo-mesh-sneakers-white-p00906284
2025-05-15 03:34:47,596 - INFO - [mytheresa] - 共解析到 88 个商品
2025-05-15 03:34:47,596 - INFO - [mytheresa] - 监控开始，共获取到 88 个商品信息
2025-05-15 03:34:47,599 - INFO - [mytheresa] - 数据已保存到 E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory\balenciaga_inventory_20250515_033447.json
2025-05-15 03:34:47,599 - INFO - [mytheresa] - 已保存88个商品的库存信息到 E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory\balenciaga_inventory_20250515_033447.json
2025-05-15 03:34:47,600 - INFO - [mytheresa] - 未检测到库存变化
2025-05-15 03:34:47,600 - INFO - [mytheresa] - 监控结束，关闭浏览器
2025-05-15 03:34:47,600 - INFO - [mytheresa] - mytheresa - 监控任务完成，日志已保存
